Nation,Gold,Silver,Bronze,Total
United States,50,24,40,114
Cuba,37,19,17,73
Great Britain,18,13,25,56
Italy,15,15,17,47
Russia,24,25,34,83
Hungary,10,2,8,20
Poland,8,9,26,43
Argentina,7,7,10,24
Kazakhstan,7,7,8,22
France,6,9,11,26
South Africa,6,4,9,19
Germany,11,14,23,48
Bulgaria,4,5,9,18
Thailand,4,4,6,14
Ukraine,4,3,7,14
Uzbekistan,4,2,8,14
South Korea,3,7,10,20
Canada,3,7,7,17
China,3,3,6,12
Yugoslavia,3,2,6,11
Ireland,2,5,9,16
Mexico,2,3,8,13
North Korea,2,3,3,8
Finland,2,1,12,15
Japan,2,0,3,5
Romania,1,9,15,25
Denmark,1,5,6,12
Mongolia,1,2,4,7
Netherlands,1,2,4,7
Venezuela,1,2,3,6
Norway,1,2,2,5
Kenya,1,1,5,7
Brazil,1,1,3,5
Belgium,1,1,2,4
New Zealand,1,1,1,3
Algeria,1,0,5,6
Dominican Republic,1,0,1,2
Sweden,0,5,6,11
Nigeria,0,3,3,6
Uganda,0,3,1,4
Philippines,0,2,3,5
Turkey,0,2,3,5
Spain,0,2,2,4
Belarus,0,2,0,2
Azerbaijan,0,1,7,8
Puerto Rico,0,1,5,6
Colombia,0,1,4,5
Australia,0,1,3,4
Egypt,0,1,3,4
Chile,0,1,2,3
Ghana,0,1,2,3
Cameroon,0,1,1,2
Australasia,0,1,0,1
Czech Republic,3,2,2,7
Estonia,0,1,0,1
Tonga,0,1,0,1
Morocco,0,0,4,4
India,0,0,2,2
Moldova,0,0,2,2
Tunisia,0,0,2,2
Armenia,0,0,1,1
Bermuda,0,0,1,1
Croatia,0,0,1,1
Georgia,0,0,1,1
Guyana,0,0,1,1
Lithuania,0,0,1,1
Mauritius,0,0,1,1
Niger,0,0,1,1
Pakistan,0,0,1,1
Syria,0,0,1,1
Tajikistan,0,0,1,1
Uruguay,0,0,1,1
Zambia,0,0,1,1
Totals,252,251,443,946
