Nation,Gold,Silver,Bronze,Total
France,41,27,23,91
Italy,33,16,10,59
Great Britain,32,30,25,87
Netherlands,18,19,12,49
United States,16,21,18,55
Australia,14,19,18,51
Germany,25,29,27,81
Denmark,7,9,10,26
Belgium,7,7,11,25
Switzerland,5,8,6,19
Russia,16,9,20,45
Spain,5,5,5,15
Sweden,4,5,8,17
Colombia,2,1,3,6
Norway,2,0,2,4
Latvia,2,0,1,3
Canada,1,5,8,14
South Africa,1,4,3,8
New Zealand,1,3,4,8
China,1,3,3,7
Greece,1,3,0,4
Czech Republic,3,3,2,8
Kazakhstan,1,1,0,2
Austria,1,0,2,3
Argentina,1,0,0,1
Estonia,1,0,0,1
Poland,0,7,4,11
Japan,0,1,3,4
Ukraine,0,1,2,3
Mexico,0,1,1,2
Cuba,0,1,0,1
Portugal,0,1,0,1
Uruguay,0,1,0,1
Belarus,0,0,1,1
Hong Kong,0,0,1,1
Jamaica,0,0,1,1
Lithuania,0,0,1,1
Malaysia,0,0,1,1
Venezuela,0,0,1,1
Totals,241,240,237,718
