Nation,Gold,Silver,Bronze,Total
Germany,41,23,27,91
Sweden,17,12,14,43
France,14,13,10,37
United States,11,21,20,52
Great Britain,11,11,13,35
Netherlands,10,13,3,26
Italy,7,9,7,23
Australia,6,3,3,12
Switzerland,5,10,8,23
Belgium,4,2,6,12
New Zealand,3,2,4,9
Canada,2,2,3,7
Mexico,2,1,4,7
Poland,1,3,2,6
Spain,1,2,1,4
Austria,1,1,1,3
Brazil,1,0,2,3
Japan,1,0,0,1
Denmark,0,4,2,6
Chile,0,2,0,2
Romania,0,1,1,2
Argentina,0,1,0,1
Bulgaria,0,1,0,1
Norway,0,1,0,1
Portugal,0,0,3,3
Saudi Arabia,0,0,2,2
Hungary,0,0,1,1
Ireland,0,0,1,1
Totals,145,143,142,430
