Nation,Gold,Silver,Bronze,Total
Italy,49,43,33,125
France,42,41,35,118
Hungary,37,23,27,87
Russia,32,22,26,80
Germany,13,17,12,42
Cuba,5,5,6,16
Poland,4,9,9,22
China,4,7,3,14
Romania,4,5,7,16
South Korea,4,2,5,11
Belgium,3,3,4,10
United States,2,9,14,25
Sweden,2,3,2,7
Ukraine,2,1,3,6
Greece,2,1,1,4
Great Britain,1,8,0,9
Switzerland,1,4,3,8
Denmark,1,2,3,6
Austria,1,1,5,7
Mixed team,1,0,0,1
Venezuela,1,0,0,1
Japan,0,2,0,2
Egypt,0,1,0,1
Mexico,0,1,0,1
Norway,0,1,0,1
Netherlands,0,0,5,5
Bohemia,0,0,2,2
Argentina,0,0,1,1
Portugal,0,0,1,1
Spain,0,0,1,1
Tunisia,0,0,1,1
Totals,211,211,209,631
