Nation,Gold,Silver,Bronze,Total
United States,4,2,1,7
Hungary,3,1,1,5
Great Britain,3,0,0,3
Argentina,2,2,0,4
Uruguay,2,0,0,2
Brazil,1,5,2,8
Yugoslavia,1,3,1,5
Poland,1,2,0,3
Spain,1,2,0,3
Germany,2,2,6,10
Sweden,1,1,2,4
Nigeria,1,1,1,3
France,1,1,0,2
Canada,1,0,2,3
Italy,1,0,2,3
Norway,1,0,2,3
Belgium,1,0,1,2
Cameroon,1,0,0,1
Mexico,1,0,0,1
Denmark,0,3,1,4
Bulgaria,0,1,1,2
Japan,0,1,1,2
Austria,0,1,0,1
China,0,1,0,1
Paraguay,0,1,0,1
Switzerland,0,1,0,1
Netherlands,0,0,3,3
Chile,0,0,1,1
Ghana,0,0,1,1
South Korea,0,0,1,1
Totals,32,32,33,97
