Nation,Gold,Silver,Bronze,Total
United States,37,42,35,114
Japan,31,33,34,98
China,29,21,23,73
Romania,25,21,26,72
Russia,105,93,70,268
Switzerland,16,19,14,49
Hungary,15,11,14,40
Germany,21,25,34,80
Italy,14,6,10,30
Finland,8,5,12,25
Ukraine,7,4,8,19
Greece,5,3,3,11
Yugoslavia,5,2,4,11
Sweden,5,2,1,8
Canada,4,3,2,9
France,3,10,9,22
Spain,3,3,1,7
Netherlands,3,0,0,3
North Korea,3,0,0,3
Great Britain,2,4,9,15
Bulgaria,2,4,8,14
Belarus,1,4,6,11
South Korea,1,4,4,9
Brazil,1,2,1,4
Denmark,1,2,1,4
Norway,1,2,1,4
Poland,1,1,2,4
Latvia,1,1,0,2
Belgium,0,1,1,2
Australia,0,1,0,1
Croatia,0,1,0,1
Uzbekistan,0,0,2,2
Totals,362,343,345,1050
