Nation,Gold,Silver,Bronze,Total
Denmark,4,0,0,4
Yugoslavia,3,1,1,5
South Korea,2,4,1,7
Norway,2,2,2,6
France,2,2,1,5
Russia,7,2,3,12
Croatia,2,0,1,3
Germany,2,3,2,7
Sweden,0,4,0,4
Romania,0,1,3,4
Hungary,0,1,2,3
Austria,0,1,0,1
Iceland,0,1,0,1
Montenegro,0,1,0,1
Spain,0,0,4,4
China,0,0,1,1
Poland,0,0,1,1
Switzerland,0,0,1,1
Ukraine,0,0,1,1
Totals,24,24,24,72
