Nation,Gold,Silver,Bronze,Total
Japan,39,19,26,84
France,14,10,25,49
South Korea,11,16,16,43
China,8,3,11,22
Cuba,6,14,16,36
Russia,12,9,22,43
Italy,4,4,7,15
Brazil,4,3,15,22
Netherlands,4,2,17,23
Poland,3,3,2,8
Germany,5,9,23,37
Georgia,3,2,3,8
Spain,3,1,2,6
United States,2,4,8,14
North Korea,2,2,4,8
Austria,2,2,1,5
Belgium,2,1,9,12
Slovenia,2,0,3,5
Hungary,1,3,5,9
Mongolia,1,3,4,8
Romania,1,2,3,6
Azerbaijan,1,2,1,4
Switzerland,1,1,2,4
Argentina,1,0,1,2
Belarus,1,0,1,2
Greece,1,0,1,2
Turkey,1,0,1,2
Czech Republic,1,0,1,2
Kosovo,1,0,0,1
Great Britain,0,8,11,19
Uzbekistan,0,2,4,6
Canada,0,2,3,5
Kazakhstan,0,2,1,3
Israel,0,1,4,5
Bulgaria,0,1,2,3
Ukraine,0,1,2,3
Algeria,0,1,1,2
Colombia,0,1,1,2
Egypt,0,1,1,2
Slovakia,0,1,0,1
Estonia,0,0,3,3
Australia,0,0,2,2
Portugal,0,0,2,2
Yugoslavia,0,0,2,2
Iceland,0,0,1,1
Kyrgyzstan,0,0,1,1
Latvia,0,0,1,1
Tajikistan,0,0,1,1
United Arab Emirates,0,0,1,1
Totals,137,136,274,547
