Nation,Gold,Silver,Bronze,Total
United States,33,32,24,89
Great Britain,31,24,13,68
Germany,64,29,29,122
Romania,19,10,9,38
Australia,11,15,14,40
New Zealand,11,3,10,24
Italy,10,14,14,38
Canada,9,17,15,41
France,8,15,14,37
Netherlands,7,12,12,31
Switzerland,7,8,9,24
Denmark,7,5,12,24
Poland,4,3,11,18
Norway,3,6,8,17
Bulgaria,3,4,7,14
Finland,3,1,3,7
Belarus,2,1,4,7
China,1,4,4,9
Croatia,1,3,1,5
Czech Republic,3,5,8,16
Slovenia,1,1,3,5
Yugoslavia,1,1,3,5
Argentina,1,1,2,4
South Africa,1,1,1,3
Ukraine,1,1,1,3
Russia,13,20,13,46
Belgium,0,6,2,8
Austria,0,3,2,5
Estonia,0,2,1,3
Sweden,0,2,0,2
Uruguay,0,1,3,4
Greece,0,1,2,3
Hungary,0,1,2,3
Lithuania,0,1,2,3
Ireland,0,1,0,1
Spain,0,1,0,1
Totals,255,255,258,768
