Nation,Gold,Silver,Bronze,Total
United States,7,12,7,26
Italy,5,0,0,5
Kenya,4,4,2,10
Poland,4,2,3,9
Jamaica,4,1,4,9
Netherlands,2,3,3,8
China,2,2,1,5
Canada,2,1,3,6
Uganda,2,1,1,4
Norway,2,1,0,3
Sweden,2,1,0,3
Bahamas,2,0,0,2
Germany,1,2,0,3
Ethiopia,1,1,2,4
Portugal,1,1,0,2
Russia,1,1,0,2
Belgium,1,0,1,2
Greece,1,0,0,1
India,1,0,0,1
Morocco,1,0,0,1
Puerto Rico,1,0,0,1
Qatar,1,0,0,1
Venezuela,1,0,0,1
Great Britain,0,3,3,6
Colombia,0,2,0,2
Dominican Republic,0,2,0,2
Australia,0,1,2,3
Cuba,0,1,2,3
Czech Republic,0,1,1,2
Japan,0,1,1,2
Bahrain,0,1,0,1
France,0,1,0,1
Namibia,0,1,0,1
Brazil,0,0,2,2
New Zealand,0,0,2,2
Austria,0,0,1,1
Belarus,0,0,1,1
Botswana,0,0,1,1
Burkina Faso,0,0,1,1
Grenada,0,0,1,1
Nigeria,0,0,1,1
Spain,0,0,1,1
Ukraine,0,0,1,1
Totals,49,47,48,144
